date,scope,category,activity,quantity,unit,emission_factor
2025-10-05,Carbon Emissions,Direct Emission,AC Refrigerant Leak (R410a),1.76,kg,2088.0
2025-10-06,Energy Consumption,Non-Renewable (Fossil),Grid Electricity,3691.74,kWh,0.82
2025-10-07,Waste Management,Recycled/Composted,Plastic Packaging (Recycled/Composted),297.05,kg,0.02
2025-10-07,Waste Management,Landfill,Plastic Packaging (Landfill),85.97,kg,0.05
2025-10-07,Waste Management,Recycled/Composted,Plastic Packaging (Recycled/Composted),313.16,kg,0.02
2025-10-07,Waste Management,Landfill,Organic Waste (Landfill),69.12,kg,1.5
2025-10-08,Energy Consumption,Non-Renewable (Fossil),Grid Electricity,4074.16,kWh,0.82
2025-10-12,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,1385.28,Liters,2.68
2025-10-13,Energy Consumption,Renewable (Clean),Solar Power,1894.45,kWh,0.0
2025-10-14,Waste Management,Recycled/Composted,Organic Waste (Recycled/Composted),181.29,kg,0.1
2025-10-15,Energy Consumption,Renewable (Clean),Wind Power,525.35,kWh,0.0
2025-10-15,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,1035.81,Liters,2.68
2025-10-15,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,487.77,Liters,2.68
2025-10-19,Energy Consumption,Non-Renewable (Fossil),Grid Electricity,3757.46,kWh,0.82
2025-10-20,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,730.51,km,0.19
2025-10-20,Energy Consumption,Renewable (Clean),Solar Power,1081.04,kWh,0.0
2025-10-21,Carbon Emissions,Direct Emission,Business Flight,2794.99,km,0.25
2025-10-22,Waste Management,Landfill,Paper/Cardboard (Landfill),96.38,kg,0.5
2025-10-23,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,257.64,km,0.19
2025-10-23,Energy Consumption,Renewable (Clean),Wind Power,1464.2,kWh,0.0
2025-10-23,Waste Management,Recycled/Composted,Plastic Packaging (Recycled/Composted),174.99,kg,0.02
2025-10-24,Energy Consumption,Renewable (Clean),Solar Power,1802.73,kWh,0.0
2025-10-24,Waste Management,Landfill,Organic Waste (Landfill),68.62,kg,1.5
2025-10-25,Waste Management,Landfill,E-Waste (Landfill),15.87,kg,0.1
2025-10-26,Carbon Emissions,Direct Emission,Business Flight,4453.45,km,0.25
2025-10-26,Energy Consumption,Renewable (Clean),Solar Power,1748.34,kWh,0.0
2025-10-27,Waste Management,Recycled/Composted,Paper/Cardboard (Recycled/Composted),328.59,kg,0.02
2025-10-27,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,122.22,km,0.19
2025-10-28,Waste Management,Landfill,Paper/Cardboard (Landfill),185.76,kg,0.5
2025-10-28,Waste Management,Landfill,E-Waste (Landfill),19.96,kg,0.1
2025-10-28,Waste Management,Landfill,Plastic Packaging (Landfill),26.51,kg,0.05
2025-10-29,Energy Consumption,Renewable (Clean),Wind Power,730.78,kWh,0.0
2025-10-29,Energy Consumption,Renewable (Clean),Wind Power,1478.45,kWh,0.0
2025-10-29,Waste Management,Landfill,Organic Waste (Landfill),80.39,kg,1.5
2025-10-31,Waste Management,Landfill,E-Waste (Landfill),47.19,kg,0.1
2025-10-31,Carbon Emissions,Direct Emission,EV Commute,663.92,km,0.0
2025-10-31,Carbon Emissions,Direct Emission,EV Commute,833.39,km,0.0
2025-11-01,Energy Consumption,Renewable (Clean),Solar Power,1734.52,kWh,0.0
2025-11-02,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,2892.8,Liters,2.68
2025-11-02,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,197.6,km,0.19
2025-11-02,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,907.6,km,0.19
2025-11-02,Waste Management,Recycled/Composted,Plastic Packaging (Recycled/Composted),317.38,kg,0.02
2025-11-03,Carbon Emissions,Direct Emission,Business Flight,4799.27,km,0.25
2025-11-03,Waste Management,Landfill,Organic Waste (Landfill),135.04,kg,1.5
2025-11-04,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,225.25,km,0.19
2025-11-04,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,1706.64,Liters,2.68
2025-11-06,Waste Management,Landfill,Paper/Cardboard (Landfill),137.33,kg,0.5
2025-11-06,Waste Management,Landfill,E-Waste (Landfill),19.46,kg,0.1
2025-11-06,Energy Consumption,Non-Renewable (Fossil),Grid Electricity,1320.58,kWh,0.82
2025-11-07,Waste Management,Recycled/Composted,Organic Waste (Recycled/Composted),161.74,kg,0.1
2025-11-07,Energy Consumption,Renewable (Clean),Solar Power,1356.79,kWh,0.0
2025-11-07,Energy Consumption,Renewable (Clean),Solar Power,1592.97,kWh,0.0
2025-11-08,Waste Management,Recycled/Composted,Paper/Cardboard (Recycled/Composted),545.79,kg,0.02
2025-11-08,Carbon Emissions,Direct Emission,Petrol Vehicle Commute,689.53,km,0.19
2025-11-09,Energy Consumption,Renewable (Clean),Solar Power,1437.19,kWh,0.0
2025-11-09,Waste Management,Landfill,Paper/Cardboard (Landfill),199.86,kg,0.5
2025-11-09,Waste Management,Landfill,Plastic Packaging (Landfill),20.85,kg,0.05
2025-11-09,Waste Management,Landfill,E-Waste (Landfill),41.23,kg,0.1
2025-11-11,Energy Consumption,Renewable (Clean),Wind Power,1353.29,kWh,0.0
2025-11-11,Energy Consumption,Renewable (Clean),Solar Power,728.64,kWh,0.0
2025-11-12,Energy Consumption,Renewable (Clean),Solar Power,1825.06,kWh,0.0
2025-11-12,Energy Consumption,Non-Renewable (Fossil),Diesel Generator,1131.18,Liters,2.68
2025-11-13,Waste Management,Landfill,Organic Waste (Landfill),128.15,kg,1.5
2025-11-13,Waste Management,Recycled/Composted,Organic Waste (Recycled/Composted),167.87,kg,0.1
2025-11-14,Energy Consumption,Renewable (Clean),Solar Power,1975.44,kWh,0.0
